spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,comparison_scope,status,pre_bloom_mean,pre_bloom_se,n_pre_bloom,comparison_mean,comparison_se,n_comparison,absolute_change,percentage,percentage_change,baseline_zero,impact
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2026-05,by_status,No-take,0.09118548215128264,0.03412638393027179,24,0,0,4,-0.09118548215128264,0,-100,FALSE,High
location,Encounter Bay,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2026-05,overall,Overall,0.0819040759015806,0.016206908769578296,141,0,0,12,-0.0819040759015806,0,-100,FALSE,High
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period,Bloom,by_status,Fished,1.5849843479586265,0.032956036296731474,117,1.045125055260338,0.0835886385731829,28,-0.5398592926982886,65.93914044680643,-34.060859553193566,FALSE,Medium
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period,Bloom,by_status,No-take,1.7200951646043343,0.04766771663187894,24,1.4105804541350364,0.07785430352105735,8,-0.3095147104692979,82.00595427285593,-17.99404572714407,FALSE,Low
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period,Bloom,overall,Overall,1.6079819337706618,0.028786992665597616,141,1.126337366121382,0.07156235758999872,36,-0.48164456764927976,70.04664309132878,-29.953356908671225,FALSE,Medium
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2025-06,by_status,Fished,1.5849843479586265,0.032956036296731474,117,1.3515366649810419,0.07347882416570505,8,-0.23344768297758467,85.27129411225715,-14.728705887742848,FALSE,Low
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2025-06,overall,Overall,1.6079819337706618,0.028786992665597616,141,1.3515366649810419,0.07347882416570505,8,-0.25644526878961993,84.05173196266797,-15.948268037332028,FALSE,Low
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2026-02,by_status,Fished,1.5849843479586265,0.032956036296731474,117,1.0487126493736822,0.11487671751224804,12,-0.5362716985849443,66.16548931378199,-33.83451068621801,FALSE,Medium
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2026-02,by_status,No-take,1.7200951646043343,0.04766771663187894,24,1.5567293708446155,0.09803774123476865,4,-0.16336579375971882,90.50251421424714,-9.497485785752858,FALSE,Low
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2026-02,overall,Overall,1.6079819337706618,0.028786992665597616,141,1.1757168297414156,0.10471268034966241,16,-0.43226510402924623,73.11753975894494,-26.882460241055057,FALSE,Medium
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2026-05,by_status,Fished,1.5849843479586265,0.032956036296731474,117,0.7333320543696179,0.17468997188724916,8,-0.8516522935890086,46.26746348089239,-53.73253651910761,FALSE,High
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2026-05,by_status,No-take,1.7200951646043343,0.04766771663187894,24,1.2644315374254576,0.06659551597635703,4,-0.45566362717887676,73.50939433146473,-26.490605668535267,FALSE,Medium
location,Encounter Bay,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2026-05,overall,Overall,1.6079819337706618,0.028786992665597616,141,0.9103652153882311,0.1380142215703914,12,-0.6976167183824307,56.61538828694774,-43.38461171305226,FALSE,Medium
location,Encounter Bay,species_richness,M1 fish species richness,period,Bloom,by_status,Fished,6.3652173913043475,0.3073794740715286,115,2.8392857142857144,0.3753777387006562,28,-3.525931677018633,44.60626463700235,-55.39373536299765,FALSE,High
location,Encounter Bay,species_richness,M1 fish species richness,period,Bloom,by_status,No-take,3.642857142857143,0.49009017848302766,14,1.5,0.5509731650193397,8,-2.142857142857143,41.17647058823529,-58.82352941176471,FALSE,High
location,Encounter Bay,species_richness,M1 fish species richness,period,Bloom,overall,Overall,6.069767441860465,0.28855679685899066,129,2.5416666666666665,0.3269477653537966,36,-3.5281007751937987,41.874201787994885,-58.125798212005115,FALSE,High
location,Encounter Bay,species_richness,M1 fish species richness,period_split,Bloom 2025-06,by_status,Fished,6.3652173913043475,0.3073794740715286,115,3.625,0.7544510776527716,8,-2.7402173913043475,56.950136612021865,-43.049863387978135,FALSE,Medium
location,Encounter Bay,species_richness,M1 fish species richness,period_split,Bloom 2025-06,overall,Overall,6.069767441860465,0.28855679685899066,129,3.625,0.7544510776527716,8,-2.4447674418604652,59.72222222222222,-40.27777777777778,FALSE,Medium
location,Encounter Bay,species_richness,M1 fish species richness,period_split,Bloom 2026-02,by_status,Fished,6.3652173913043475,0.3073794740715286,115,3,0.6276459144608478,12,-3.3652173913043475,47.13114754098361,-52.86885245901639,FALSE,High
location,Encounter Bay,species_richness,M1 fish species richness,period_split,Bloom 2026-02,by_status,No-take,3.642857142857143,0.49009017848302766,14,2.875,0.375,4,-0.7678571428571428,78.92156862745098,-21.07843137254902,FALSE,Medium
location,Encounter Bay,species_richness,M1 fish species richness,period_split,Bloom 2026-02,overall,Overall,6.069767441860465,0.28855679685899066,129,2.96875,0.473173571923313,16,-3.1010174418604652,48.910440613026815,-51.089559386973185,FALSE,High
location,Encounter Bay,species_richness,M1 fish species richness,period_split,Bloom 2026-05,by_status,Fished,6.3652173913043475,0.3073794740715286,115,1.8125,0.40019526483955303,8,-4.5527173913043475,28.475068306010932,-71.52493169398906,FALSE,High
location,Encounter Bay,species_richness,M1 fish species richness,period_split,Bloom 2026-05,by_status,No-take,3.642857142857143,0.49009017848302766,14,0.125,0.125,4,-3.517857142857143,3.431372549019608,-96.56862745098039,FALSE,High
location,Encounter Bay,species_richness,M1 fish species richness,period_split,Bloom 2026-05,overall,Overall,6.069767441860465,0.28855679685899066,129,1.25,0.3562217559245075,12,-4.819767441860465,20.593869731800766,-79.40613026819923,FALSE,High
location,Encounter Bay,species_richness,M2 fish species richness,period,Bloom,by_status,Fished,0.5,0.06786066062338086,117,0.19642857142857142,0.05357142857142857,28,-0.3035714285714286,39.285714285714285,-60.714285714285715,FALSE,High
location,Encounter Bay,species_richness,M2 fish species richness,period,Bloom,by_status,No-take,0.4166666666666667,0.10711409781952526,24,0.25,0.0944911182523068,8,-0.16666666666666669,60,-40,FALSE,Medium
location,Encounter Bay,species_richness,M2 fish species richness,period,Bloom,overall,Overall,0.4858156028368794,0.05911009733689321,141,0.20833333333333334,0.04618372557445435,36,-0.27748226950354604,42.883211678832126,-57.116788321167874,FALSE,High
location,Encounter Bay,species_richness,M2 fish species richness,period_split,Bloom 2025-06,by_status,Fished,0.5,0.06786066062338086,117,0.1875,0.09149063183892497,8,-0.3125,37.5,-62.5,FALSE,High
location,Encounter Bay,species_richness,M2 fish species richness,period_split,Bloom 2025-06,overall,Overall,0.4858156028368794,0.05911009733689321,141,0.1875,0.09149063183892497,8,-0.2983156028368794,38.59489051094891,-61.40510948905109,FALSE,High
location,Encounter Bay,species_richness,M2 fish species richness,period_split,Bloom 2026-02,by_status,Fished,0.5,0.06786066062338086,117,0.20833333333333334,0.09649802426406816,12,-0.29166666666666663,41.66666666666667,-58.33333333333333,FALSE,High
location,Encounter Bay,species_richness,M2 fish species richness,period_split,Bloom 2026-02,by_status,No-take,0.4166666666666667,0.10711409781952526,24,0.375,0.125,4,-0.041666666666666685,89.99999999999999,-10.000000000000014,FALSE,Low
location,Encounter Bay,species_richness,M2 fish species richness,period_split,Bloom 2026-02,overall,Overall,0.4858156028368794,0.05911009733689321,141,0.25,0.07905694150420949,16,-0.2358156028368794,51.45985401459854,-48.54014598540146,FALSE,Medium
location,Encounter Bay,species_richness,M2 fish species richness,period_split,Bloom 2026-05,by_status,Fished,0.5,0.06786066062338086,117,0.1875,0.09149063183892497,8,-0.3125,37.5,-62.5,FALSE,High
location,Encounter Bay,species_richness,M2 fish species richness,period_split,Bloom 2026-05,by_status,No-take,0.4166666666666667,0.10711409781952526,24,0.125,0.125,4,-0.2916666666666667,30,-70,FALSE,High
location,Encounter Bay,species_richness,M2 fish species richness,period_split,Bloom 2026-05,overall,Overall,0.4858156028368794,0.05911009733689321,141,0.16666666666666666,0.07106690545187015,12,-0.3191489361702128,34.30656934306569,-65.69343065693431,FALSE,High
location,Encounter Bay,species_richness,M2 invertebrate species richness,period,Bloom,by_status,Fished,9.602564102564102,0.24807975035914862,117,3.767857142857143,0.3112550788531281,28,-5.83470695970696,39.23803166126263,-60.76196833873737,FALSE,High
location,Encounter Bay,species_richness,M2 invertebrate species richness,period,Bloom,by_status,No-take,9.041666666666666,0.4926237307485485,24,5.3125,0.4718646522044218,8,-3.729166666666666,58.7557603686636,-41.2442396313364,FALSE,Medium
location,Encounter Bay,species_richness,M2 invertebrate species richness,period,Bloom,overall,Overall,9.50709219858156,0.22229949901992482,141,4.111111111111111,0.2824995512786934,36,-5.3959810874704495,43.24257117990799,-56.75742882009201,FALSE,High
location,Encounter Bay,species_richness,M2 invertebrate species richness,period_split,Bloom 2025-06,by_status,Fished,9.602564102564102,0.24807975035914862,117,4.5625,0.43749999999999994,8,-5.040064102564102,47.51335113484647,-52.48664886515353,FALSE,High
location,Encounter Bay,species_richness,M2 invertebrate species richness,period_split,Bloom 2025-06,overall,Overall,9.50709219858156,0.22229949901992482,141,4.5625,0.43749999999999994,8,-4.94459219858156,47.99048862364789,-52.00951137635211,FALSE,High
