"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","1","metric_id"
"Pre-bloom",0.36187691732077365,0.13560345703510854,Inf,0.17361867284113733,0.7542673904057023,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.25145651668928626,0.16801038543419783,Inf,0.0678787057303489,0.9315201152581595,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.2710968672491423,0.07862912914724053,Inf,0.15354702098400905,0.47863847153343964,"Boston Bay","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.18275998710416766,0.08210069439319335,Inf,0.07577021607482355,0.4408224579078887,"Boston Bay","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.3688163564546451,0.0770386555881777,Inf,0.2449122531821726,0.5554050604699646,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.16030001126641696,0.10794562563570645,Inf,0.04282886526320147,0.5999713850483794,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.6718548170346591,0.1767766844851451,Inf,0.40115250517911677,1.1252301539812837,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.8181818247175052,0.1928472934142864,Inf,0.5154893682075545,1.2986135885319237,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.8157894779587422,0.10360537813925186,Inf,0.6360267536872662,1.0463592427362403,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",1.0833333252583717,0.21245916867656842,Inf,0.7376115819842988,1.5910963470206778,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.5573770493994236,0.09689293820553177,Inf,0.39644092284895155,0.7836455756500593,"Glenelg","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.054054053371215875,0.038272845130198296,Inf,0.013493885446811606,0.21653071662533188,"Glenelg","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",1.3869057195807986,0.18211260096582677,Inf,1.0722026723493825,1.7939775050095643,"Middle/Long Spit - Middle Spit Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.4311737981770994,0.15196051276359282,Inf,0.2161023996518081,0.860290512895795,"Middle/Long Spit - Middle Spit Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.3936181226209304,0.13339019353895984,Inf,0.20258999545281123,0.7647723477624265,"O'Sullivan","Shark and ray richness",NA,"sharks_rays"
"Bloom",0.023820078073658102,0.027288542599936183,Inf,0.00252230360319896,0.22495155567932296,"O'Sullivan","Shark and ray richness",NA,"sharks_rays"
"Pre-bloom",0.5024623496141559,0.3013393434439565,Inf,0.15510167631287816,1.627760697250541,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
"Bloom",2.417897036051547e-11,5.088570895673994e-6,Inf,2.220446049250313e-16,Inf,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness",NA,"sharks_rays"
