"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Pre-bloom",7.131741244418774,0.8779245895509561,Inf,5.6028862208603725,9.077773699558291,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.708, not greater than the threshold of 1.5",NA,"richness"
"Bloom",4.086835838599143,0.8153877319055085,Inf,2.7641344212986505,6.042480077293523,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.708, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",0.3853056609415666,0.18597872896799758,Inf,0.14960591712783491,0.9923434527443279,"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.618, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.22874210156776242,0.16994416085417915,Inf,0.05332674979271615,0.9811764120824648,"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.618, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.36187691487304885,0.13560343959934046,Inf,0.17361868719979462,0.754267317822403,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.731, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.2514564886849392,0.1680103403414472,Inf,0.06787871212873221,0.9315198199671546,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.731, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.27109689543972953,0.0786291296114775,Inf,0.15354704551227358,0.47863849461815294,"Boston Bay","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.821, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.18276002480972725,0.08210070329309911,Inf,0.07577023823899033,0.4408225108531373,"Boston Bay","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.821, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.7154544010627105,0.17597938768400484,Inf,0.4417870934087383,1.1586463426318767,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.571, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.07949493345141288,0.05648868639141513,Inf,0.01974604212466532,0.32003600542058863,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.571, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.27468758874098775,0.1054175850799134,Inf,0.12947060020701195,0.582783051037803,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.899, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.1228316429704299,0.0821603028000692,Inf,0.03310959784784193,0.45568697584765633,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.899, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.6276363977518153,0.19647820547083825,Inf,0.33981617481425563,1.1592368962371986,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.641, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.7716976323288166,0.22245241085686546,Inf,0.438608118234667,1.357743304293524,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.641, not greater than the threshold of 1.5",NA,"sharks_rays"
