"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Pre-bloom",8.237365322349682,1.0642139743039323,Inf,6.3946772391580895,10.61104179556412,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.168, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.431388705989596,2.8305120864279765,Inf,4.366577505122641,16.280099329072208,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.168, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",9.520844327768208,0.7432809146757842,Inf,8.170021118129867,11.095011310612767,"Rapid Head - Rapid Head Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.009, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.91966669466613,1.602241105604879,Inf,6.2725937582369236,12.68382060283444,"Rapid Head - Rapid Head Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.009, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",12.78262945521959,0.7708914022133022,Inf,11.357589411629238,14.386469687145388,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.231, not greater than the threshold of 1.5",NA,"richness"
"Bloom",14.062779014724176,1.2520881400359622,Inf,11.81092472591061,16.743968673606073,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.231, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",10.265587553100422,0.9180938104508961,Inf,8.615040999541442,12.232360567521335,"The Pages - The Pages Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.895, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.60801380108332,0.9636028099581176,Inf,6.91221604225913,10.71984746232315,"The Pages - The Pages Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.895, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",6.501454959296201,1.5707882369119395,Inf,4.049071613664815,10.439162509526371,"Victor Harbor - Encounter Bay Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.756, not greater than the threshold of 1.5",NA,"richness"
"Bloom",8.899476583642313,2.1132631718029713,Inf,5.587773214786494,14.173925894704386,"Victor Harbor - Encounter Bay Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.756, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",6.505079349818143,0.3934727563089694,Inf,5.777846076494906,7.323846427750668,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.7, not greater than the threshold of 1.5",NA,"richness"
"Bloom",4.280617458753635,0.7039153045962127,Inf,3.101221133939972,5.908538938952397,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.7, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",0.391126871757749,0.17818372549197575,Inf,0.1601548138525356,0.9552021954947977,"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.622, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.23496650246522588,0.16962824152637862,Inf,0.057082383622103855,0.967185561945638,"Aldinga - Aldinga Reef Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.622, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.36187691487304885,0.13560343959934046,Inf,0.17361868719979462,0.754267317822403,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.731, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.2514564886849392,0.1680103403414472,Inf,0.06787871212873221,0.9315198199671546,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.731, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.2597860387795988,0.07329550124962825,Inf,0.1494374839060862,0.4516188588079311,"Boston Bay","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.791, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.18070358214730517,0.08453010772215952,Inf,0.07224186401074006,0.4520063961252895,"Boston Bay","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.791, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.7154544010627105,0.17597938768400484,Inf,0.4417870934087383,1.1586463426318767,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.571, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.07949493345141288,0.05648868639141513,Inf,0.01974604212466532,0.32003600542058863,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.571, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.27468758874098775,0.1054175850799134,Inf,0.12947060020701195,0.582783051037803,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.899, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.1228316429704299,0.0821603028000692,Inf,0.03310959784784193,0.45568697584765633,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.899, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.6276363977518153,0.19647820547083825,Inf,0.33981617481425563,1.1592368962371986,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.641, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.7716976323288166,0.22245241085686546,Inf,0.438608118234667,1.357743304293524,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.641, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.058367751896742176,0.05898890770733432,Inf,0.00805216834256334,0.42309031760693744,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.1, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",0.30504735978743464,0.1323213514598361,Inf,0.13035836456926192,0.7138313833620035,"Cuttlefish Coast - Fairway Bank Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.1, not greater than the threshold of 1.5",NA,"sharks_rays"
"Pre-bloom",0.7894736842103307,0.10192060623064063,Inf,0.6129824211417156,1.016780704575114,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.8, not greater than the threshold of 1.5",NA,"sharks_rays"
"Bloom",1.083333333359825,0.21245912934291855,Inf,0.7376116421107878,1.5910962411195722,"Dangerous Reef - Dangerous Reef Sanctuary Zone","Shark and ray richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.8, not greater than the threshold of 1.5",NA,"sharks_rays"
