genus_species,type,fisheries_status,diet,common_name,body_shape,functional_group,colour,habitat association,water column position,iconic species,2026 edit,Notes
Omegophora cyanopunctata,Teleost,Non-target,Omnivore,Bluespotted toadfish,short and / or deep,reef-associated,NA,reef,NA,NA,NA,NA
Othos dentex,Teleost,Target,Carnivore,Harlequin fish,fusiform / normal,reef-associated,NA,reef,NA,NA,Y,NA
Parapercis haackei,Teleost,Non-target,Carnivore,Wavy grubfish,elongated,reef-associated,NA,reef/unconsolidated,NA,NA,Y,seagreass ?
Paraplesiops meleagris,Teleost,By-catch,Carnivore,Southern blue devil,elongated,reef-associated,NA,reef,NA,Yes,Y,NA
Parma victoriae,Teleost,Non-target,Herbivore,Victorian scalyfin,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
Pentaceropsis recurvirostris,Teleost,Target,Omnivore,Longsnout boarfish,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
Phyllopteryx taeniolatus,Teleost,Non-target,Carnivore,Weedy seadragon,other,reef-associated,NA,reef/seagrass,NA,NA,NA,NA
Pictilabrus laticlavius,Teleost,Non-target,Carnivore,Senator wrasse,fusiform / normal,reef-associated,NA,reef,NA,NA,Y,NA
Pseudogoniistius nigripes,Teleost,Target,Omnivore,Magpie perch,fusiform / normal,reef-associated,NA,reef,NA,NA,Y,NA
Pseudolabrus rubicundus,Teleost,Non-target,Carnivore,Rosy wrasse,fusiform / normal,reef-associated,NA,reef,NA,NA,Y,NA
Scobinichthys granulatus,Teleost,Target,Omnivore,Rough leatherjackets,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
Scorpis georgiana,Teleost,Target,Planktivore,Banded sweep,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
Scorpis lineolata,Teleost,Target,Planktivore,Silver sweep,short and / or deep,reef-associated,NA,reef,NA,NA,Y,NA
Sphyraena forsteri,Teleost,Target,Carnivore,Bigeye barracuda,elongated,reef-associated,NA,NA,NA,NA,Y,NA
Sutorectus tentaculatus,Chondrichthyes,Non-target,Carnivore,Cobbler wobbegong,elongated,reef-associated,NA,NA,NA,NA,NA,NA
Syngnathidae spp,Teleost,Non-target,Planktivore,Pipefish,elongated,reef-associated,NA,NA,NA,NA,NA,NA
Trachichthys australis,Teleost,Non-target,Planktivore,Southern roughy,short and / or deep,reef-associated,NA,NA,NA,NA,NA,NA
Trachinops noarlungae,Teleost,Non-target,Carnivore,Yellowhead hulafish,elongated,reef-associated,NA,NA,NA,NA,NA,NA
Vincentia conspersa,Teleost,Non-target,Planktivore,Southern cardinalfish,Elongated,reef-associated,NA,NA,NA,NA,NA,NA
Allomycterus pilatus,NA,NA,NA,Australian burrfish,NA,NA,NA,NA,NA,NA,Y,NA
Ammotretis elongatus,NA,NA,NA,Elongate flounder,NA,NA,NA,NA,NA,NA,Y,NA
Ammotretis spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctocephalus forsteri,NA,NA,NA,Fur seal,NA,NA,NA,NA,NA,NA,Y,NA
Arripis trutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteriidae spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atherinosoma microstoma,NA,NA,NA,Smallmouth hardyhead,NA,NA,NA,NA,NA,NA,Y,NA
Australaria australasia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheilinus nigripes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,old name magpie perch
Cheilio nigripes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,old name magpie perch
Cheilodactylus nigripes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,old name magpie perch
Cheilodactylus spectabilis,NA,NA,NA,Banded morwong,NA,NA,NA,NA,NA,NA,Y,NA
Chelidonichthys kumu,NA,NA,NA,Red gurnard,NA,NA,NA,NA,NA,NA,Y,NA
Cnidoglanis macrocephalus,NA,NA,NA,Estuary cobbler,NA,NA,NA,NA,NA,NA,Y,NA
Conidae spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Contusus brevicaudus,NA,NA,NA,Prickly toadfish,NA,NA,NA,NA,NA,NA,Y,NA
Contusus richei,NA,NA,NA,Barred toadfish,NA,NA,NA,NA,NA,NA,Y,NA
Dasella brevicaudata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diodon nichthemerus,NA,NA,NA,Globefish,NA,NA,NA,NA,NA,NA,Y,NA
Diogenes spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eocallionymus papilio,NA,NA,NA,Painted stinkfish,NA,NA,NA,NA,NA,NA,Y,NA
