dataset,dataset_label,location,ordination,site_name,status,axis1,axis2,n_events
M2_cryptic,M2 fish,Rapid Head,cap_status,Morgans,Fished,-0.8169304578095753,0.7169248482395458,12
M2_cryptic,M2 fish,Rapid Head,cap_status,Nev's Windmills,Fished,-0.6187060217394156,0.18601191082592022,12
M2_cryptic,M2 fish,Rapid Head,cap_status,Rapid Head,No-take,0.9931693950210237,0.01644288228483922,16
M2_cryptic,M2 fish,Rapid Head,cap_status,Rapid Head East,Fished,-0.6466331515947669,-0.323687619058283,11
M2_cryptic,M2 fish,Rapid Head,cap_status,Rapid Head SZ,No-take,1.1078303739984074,-0.12162462904909094,11
M2_cryptic,M2 fish,Rapid Head,cap_status,Rapid Head SZ Site2,No-take,0.9523249415819627,0.2180316222533265,10
M2_cryptic,M2 fish,Rapid Head,cap_status,Rapid Head South,No-take,1.0928563293709008,-0.11055314195506921,10
M2_cryptic,M2 fish,Southern Fleurieu,cap_period,Backstairs Deep,Fished,-0.24769230346483995,-0.4911079992790155,4
M2_cryptic,M2 fish,Southern Fleurieu,cap_period,Deep Creek,Fished,-0.2013366670739825,-0.12102056989876105,4
M2_cryptic,M2 fish,Southern Fleurieu,cap_period,Fishery Beach,Fished,0.07866365437285583,-0.02443996333043162,4
M2_cryptic,M2 fish,Southern Fleurieu,cap_period,Flat Irons,Fished,0.0041937916527539365,0.08508259228644434,9
M2_cryptic,M2 fish,Southern Fleurieu,cap_period,Newland Head,Fished,0.21962200170469331,0.16254793827047476,6
M2_cryptic,M2 fish,Southern Fleurieu,cap_period,Porpoise Head,Fished,0.031496282390230154,0.20131079245799657,4
M2_cryptic,M2 fish,Southern Metro,cap_period,Aldinga Pinacles,No-take,0.2731511218553827,-0.16285977567719276,5
M2_cryptic,M2 fish,Southern Metro,cap_period,Aldinga Reef,No-take,0.13032288280694698,0.24114064954380818,5
M2_cryptic,M2 fish,Southern Metro,cap_period,Aldinga SZ1,No-take,0.8748962016692361,0.19955200741496537,2
M2_cryptic,M2 fish,Southern Metro,cap_period,Aldinga SZ3,No-take,1.182251047007645,-0.1623286803498536,2
M2_cryptic,M2 fish,Southern Metro,cap_period,Gull Rock,Fished,0.4457501703471428,1.0115791974902115,2
M2_cryptic,M2 fish,Southern Metro,cap_period,Horseshoe inner,Fished,-0.6112116346844317,0.9054818026019442,13
M2_cryptic,M2 fish,Southern Metro,cap_period,Horseshoe outer,Fished,0.12863960828469417,-0.5250295721364162,10
M2_cryptic,M2 fish,Southern Metro,cap_period,Moana inside,Fished,0.3322120441916835,-0.7727176349594526,8
M2_cryptic,M2 fish,Southern Metro,cap_period,Moana outside,Fished,0.17555778381270198,-0.7752508344033708,12
M2_cryptic,M2 fish,Southern Metro,cap_period,Noarlunga North Outside,No-take,-0.3341550787258961,0.1467134370097357,11
M2_cryptic,M2 fish,Southern Metro,cap_period,Noarlunga South Outside,No-take,-0.008724506225693748,0.4831616732667357,4
M2_cryptic,M2 fish,Southern Metro,cap_period,Pt Noarlunga inside,No-take,-0.5073444114393592,0.357195375976439,8
M2_cryptic,M2 fish,Southern Metro,cap_period,Southport,Fished,0.055693989845184685,0.31649887502707796,5
