dataset,dataset_label,location,id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1,period_cap_percent,status_cap_percent
M1,M1 fish,Encounter Bay,Pullen Island_10,Pullen Island,No-take,Pre-bloom,10,2020-01-31,-0.0803086679492346,1.7053907446186394,3.9,3.3
M1,M1 fish,Encounter Bay,Pullen Island_13,Pullen Island,No-take,Bloom,13,2026-05-29,1.573625601650707,1.8313784568781473,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_1,The Bluff,Fished,Pre-bloom,1,2005-03-12,-0.6730933591324934,-0.5017711679957303,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_2,The Bluff,Fished,Pre-bloom,2,2006-02-24,-0.6845758544372923,-0.7836912776471913,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_3,The Bluff,Fished,Pre-bloom,3,2007-02-20,-0.5312592525483018,-0.6719681830291772,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_4,The Bluff,Fished,Pre-bloom,4,2007-09-24,-0.3346947356136827,-0.5391157506386477,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_6,The Bluff,Fished,Pre-bloom,6,2013-03-04,-0.23674030789889092,0.10294671751133627,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_7,The Bluff,Fished,Pre-bloom,7,2013-11-01,-0.32825392210804255,0.031484774154826756,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_8,The Bluff,Fished,Pre-bloom,8,2017-04-14,-0.40941281416709496,-0.6717812896364432,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_9,The Bluff,Fished,Pre-bloom,9,2018-01-27,-0.3021153857209998,-0.2552113690944524,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_10,The Bluff,Fished,Pre-bloom,10,2020-01-31,-0.6242908886846783,-0.3218162484891561,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_11,The Bluff,Fished,Bloom,11,2025-06-20,0.8462343680416566,0.018879162980921675,3.9,3.3
M1,M1 fish,Encounter Bay,The Bluff_12,The Bluff,Fished,Bloom,12,2026-02-16,0.624331677942593,-0.23970257738130354,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_4,Whalebone Reef,Fished,Pre-bloom,4,2007-09-24,-0.017460846619068923,-0.3159615813990714,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_5,Whalebone Reef,Fished,Pre-bloom,5,2012-02-08,-0.34721699274530443,-0.8855357037154871,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_6,Whalebone Reef,Fished,Pre-bloom,6,2013-03-04,-1.4803794428574726,-1.1587346966812386,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_7,Whalebone Reef,Fished,Pre-bloom,7,2013-11-01,-1.0284682771925002,-1.3025733555175794,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_8,Whalebone Reef,Fished,Pre-bloom,8,2017-04-14,-1.2713646775375242,-1.2916236254515747,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_9,Whalebone Reef,Fished,Pre-bloom,9,2018-01-27,-2.3834587227798028,-2.0530904751139616,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_10,Whalebone Reef,Fished,Pre-bloom,10,2020-01-31,-1.1311867140734866,-1.3190774060204256,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_11,Whalebone Reef,Fished,Bloom,11,2025-06-20,0.5152569489729251,-0.5982877106029513,3.9,3.3
M1,M1 fish,Encounter Bay,Whalebone Reef_12,Whalebone Reef,Fished,Bloom,12,2026-02-16,1.4767038240221513,0.55876956163239,3.9,3.3
