"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"2026-04-08",20.833315522468382,1.3176150187064926,Inf,18.40448461573253,23.582678065742023,"2026-04-08","Bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2020-10-13",7.077433519546529,1.3734079283730274,Inf,4.838339021757623,10.352739855216795,"2020-10-13","Pre-bloom","Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2021-10-25",6.670409959237676,1.2855794778387308,Inf,4.57195086648294,9.732031319602811,"2021-10-25","Pre-bloom","Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2022-12-02",5.802410923132057,1.1309375075965091,Inf,3.9600650113956517,8.501873687426297,"2022-12-02","Pre-bloom","Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2023-11-23",8.703669565562183,1.6186905578190156,Inf,6.04501917859946,12.531616801924596,"2023-11-23","Pre-bloom","Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2025-10-21",1.4661643812525689,0.37715519201066827,Inf,0.8855643431623014,2.4274215752381014,"2025-10-21","Bloom","Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2026-03-20",6.047814230364678,1.1530730439393622,Inf,4.162064527706548,8.787960090843729,"2026-03-20","Bloom","Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2014-09-03",5.83333331393224,0.986013214897299,Inf,4.188297117072102,8.12448988223151,"2014-09-03","Pre-bloom","Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2015-01-07",8.826086955924396,0.6194698125252034,Inf,7.691757264786286,10.12770011739355,"2015-01-07","Pre-bloom","Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2016-01-10",7.9999999861225835,0.617213348848394,Inf,6.877306291415354,9.30596909110327,"2016-01-10","Pre-bloom","Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
