"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","family_code","selected_family","link","selection_reason","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","dispersion_parameter","tweedie_power","model_warnings","model_error"
"Glenelg","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",98,6,2,1,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,272.21773084507544,-129.10886542253772,1,NA,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",80,5,2,2,5,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,188.1628477744361,-88.08142388721805,1,NA,NA,NA
"Middle/Long Spit - Middle Spit Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",74,4,2,2,5,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,180.35474843878535,-85.17737421939268,1,NA,NA,NA
"O'Sullivan","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",98,9,2,1,5,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,282.75843140141285,-137.37921570070642,1,NA,NA,NA
"O'Sullivan","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",98,9,2,1,5,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,287.4633300652679,-133.73166503263394,1,NA,NA,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",57,4,2,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,142.65897143288757,-65.32948571644378,1,NA,NA,NA
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",57,4,2,2,4,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,135.8894847400223,-58.944742370011156,1,NA,NA,NA
"Orcades Bank - Orcades Bank Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ 1",12,1,1,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,72.39260487733554,-35.19630243866777,1,NA,NA,NA
"Orcades Bank - Orcades Bank Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ 1",12,1,1,1,1,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,72.39260487733554,-35.19630243866777,1,NA,NA,NA
"Port Gibbon - Port Gibbon Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,146.40358252263547,-68.20179126131774,1,NA,NA,NA
